# green - wget green, else ping - yellow
# else  - red
#Groupname;InstanceName;URL;Port
ArtifactorySV5;F5;repo.splunk.com;80
ArtifactorySV5;Node1;sv5-prd-artifapp001.sv.splunk.com;8081
ArtifactorySV5;Node2;sv5-prd-artifapp002.sv.splunk.com;8081
ArtifactoryAWS;Node1;awsart01.re.splunkdev.com;8081
ArtifactoryAWS;Nginx;awsart02.re.splunkdev.com;80
ArtifactoryAWS;NginxHTTPS;awsart01.re.splunkdev.com;443
ArtifactoryProd;F5;repo.splunk.com;80
ArtifactoryProd;Node1;sv5-prd-artifapp001:8081;8081
ArtifactoryProd;Node2;sv5-prd-artifapp002:8081;8081
ArtifactoryProd;Node3;sv5-prd-artifapp003:8081/artifactory;8081
ArtifactoryProd;DBF5;dB;8080
ArtifactoryProd;DBNode1;dBnode1;8080
ArtifactoryProd;DBNode2;dBnode2;8080


#Jenkins;Master;re-jenkins02.sv.splunk.com;80
Jenkins;F5;Dummyf5;80
Jenkins;Master1;re-jenkins01.sv.splunk.com;443
Jenkins;Master2;re-jenkins02.sv.splunk.com;443


ArtifactoryOnPremProd;F5;http://repo.splunk.com/artifactory/api/system/ping;80
ArtifactoryOnPremProd;ArtNode1;http://sv5-prd-artifapp001.sv.splunk.com/artifactory;80
ArtifactoryOnPremProd;F5;http://sv5-prd-artifapp001.sv.splunk.com/artifactory;80

#UCP
#UCPDev;DevMaster1;
UCPDev;Node1;soln-perf83.sv.splunk.com:12376;12376
UCPDev;Master;soln-perf60.sv.splunk.com:12376;12376
UCPDev;Node1;soln-perf73.sv.splunk.com:12376;12376
UCPDev;ManagerNode1;soln-perf61.sv.splunk.com:12376;12376
UCPDev;Node1;soln-perf81.sv.splunk.com:12376;12376
UCPDev;ManagerNode2;soln-perf62.sv.splunk.com:12376;12376
UCPDev;soln-perf67;soln-perf67.sv.splunk.com:12376;12376
UCPDev;soln-perf101;soln-perf101.sv.splunk.com:12376;12376
UCPDev;soln-perf102;soln-perf102.sv.splunk.com:12376;12376
UCPDev;soln-perf103;soln-perf103.sv.splunk.com:12376;12376
UCPDev;soln-perf104;soln-perf104.sv.splunk.com:12376;12376
UCPDev;soln-perf105;soln-perf105.sv.splunk.com:12376;12376

# UCP PROD
