#---------------
# UCP PROD
#---------------
# else  - red
# green - wget green, else ping - yellow
#----------------------------------------------------------------------
#     Groupname;InstanceName;URL;Port;OverlayPort;Priority;Label
#----------------------------------------------------------------------

UCPProd;sv3-orca-0307e1b1;sv3-orca-0307e1b1.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0307e1b2;sv3-orca-0307e1b2.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0307e1b3;sv3-orca-0307e1b3.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0307e1b4;sv3-orca-0307e1b4.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0307e2b1;sv3-orca-0307e2b1.sv.splunk.com;12376;7946;1;0307e
#UCPProd;sv3-orca-0307e2b2;sv3-orca-0307e2b2.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0307e2b3;sv3-orca-0307e2b3.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0307e2b4;sv3-orca-0307e2b4.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0307e3b1;sv3-orca-0307e3b1.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0307e3b2;sv3-orca-0307e3b2.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0307e3b3;sv3-orca-0307e3b3.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0307e3b4;sv3-orca-0307e3b4.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0307e4b1;sv3-orca-0307e4b1.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0307e4b2;sv3-orca-0307e4b2.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0307e4b3;sv3-orca-0307e4b3.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0307e4b4;sv3-orca-0307e4b4.sv.splunk.com;12376;7946;1;0307e
UCPProd;sv3-orca-0308e0b1;sv3-orca-0308e0b1.sv.splunk.com;12376;7946;1;0308e
UCPProd;sv3-orca-0308e0b2;sv3-orca-0308e0b2.sv.splunk.com;12376;7946;1;0308e
UCPProd;sv3-orca-0308e0b3;sv3-orca-0308e0b3.sv.splunk.com;12376;7946;1;0308e
UCPProd;sv3-orca-0308e0b4;sv3-orca-0308e0b4.sv.splunk.com;12376;7946;1;0308e
UCPProd;sv3-orca-0308e1b1;sv3-orca-0308e1b1.sv.splunk.com;12376;7946;1;0308e
